feature_number,feature,feature_type,in_file
957, - Yes in most activities,Percentage,888933045354.csv
958, - Yes in all activities,Percentage,888933045354.csv
959,Never formally appraised by the school principal,Percentage,888933045582.csv
960,Never formally appraised by other members of the school management team,Percentage,888933045582.csv
961,Never formally appraised by the teacher's mentor,Percentage,888933045582.csv
962,Never formally appraised by other teachers,Percentage,888933045582.csv
963,Never formally appraised by external individuals or bodies,Percentage,888933045582.csv
964,Generally never formally appraised ,Percentage,888933045582.csv
965,Formally appraised by the school principal - Never,Percentage,888933045601.csv
966, - Less than once every two years,Percentage,888933045601.csv
967, - Once every two years,Percentage,888933045601.csv
968, - Once per year,Percentage,888933045601.csv
969, - Twice or more per year,Percentage,888933045601.csv
970,Formally appraised by other members of the school management team - Never,Percentage,888933045601.csv
971, - Less than once every two years,Percentage,888933045601.csv
972, - Once every two years,Percentage,888933045601.csv
973, - Once per year,Percentage,888933045601.csv
974, - Twice or more per year,Percentage,888933045601.csv
975,Formally appraised by the teacher's mentor - Never,Percentage,888933045601.csv
976, - Less than once every two years,Percentage,888933045601.csv
977, - Once every two years,Percentage,888933045601.csv
978, - Once per year,Percentage,888933045601.csv
979, - Twice or more per years,Percentage,888933045601.csv
980,Formally appraised by other teachers - Never,Percentage,888933045601.csv
981, - Less than once every two years,Percentage,888933045601.csv
982, - Once every two years,Percentage,888933045601.csv
983, - Once per year,Percentage,888933045601.csv
984, - Twice or more per years,Percentage,888933045601.csv
985,Formally appraised by external individuals or bodies - Never,Percentage,888933045601.csv
986, - Less than once every two years,Percentage,888933045601.csv
987, - Once every two years,Percentage,888933045601.csv
988, - Once per year,Percentage,888933045601.csv
989, - Twice or more per years,Percentage,888933045601.csv
990,Appraisal used in the school where the teacher works,Percentage,888933045620.csv
991,Direct observation of classroom teaching ,Percentage,888933045620.csv
992,Student surveys about teaching,Percentage,888933045620.csv
993,Assessment of teachers' content knowledge,Percentage,888933045620.csv
994,Analysis of student test scores,Percentage,888933045620.csv
995,Discussion of teachers' self-assessments of their work,Percentage,888933045620.csv
996,Discussion about feedback received from parents or guardians,Percentage,888933045620.csv
997,Measures to remedy any weaknesses in teaching are discussed with the teacher - Never,Percentage,888933045772.csv
998, - Sometimes,Percentage,888933045772.csv
999, - Most of the time,Percentage,888933045772.csv
1000, - Always,Percentage,888933045772.csv
1001,A development or training plan is developed for each teacher - Never,Percentage,888933045772.csv
1002, - Sometimes,Percentage,888933045772.csv
1003, - Most of the time,Percentage,888933045772.csv
1004, - Always,Percentage,888933045772.csv
1005,Material sanctions (e.g. reduced annual increases in pay) are imposed on poor performers - Never,Percentage,888933045772.csv
1006, - Sometimes,Percentage,888933045772.csv
1007, - Most of the time,Percentage,888933045772.csv
1008, - Always,Percentage,888933045772.csv
1009,A mentor is appointed to help the teacher improve his/her teaching - Never,Percentage,888933045772.csv
1010, - Sometimes,Percentage,888933045772.csv
1011, - Most of the time,Percentage,888933045772.csv
1012, - Always,Percentage,888933045772.csv
1013,A change in teachers' work responsibilities - Never,Percentage,888933045772.csv
1014, - Sometimes,Percentage,888933045772.csv
1015, - Most of the time,Percentage,888933045772.csv
1016, - Always,Percentage,888933045772.csv
1017,A change in teachers' salary or a payment of a financial bonus - Never,Percentage,888933045772.csv
1018, - Sometimes,Percentage,888933045772.csv
1019, - Most of the time,Percentage,888933045772.csv
1020, - Always,Percentage,888933045772.csv
1021,A change in the likelihood of career advancement - Never,Percentage,888933045772.csv
1022, - Sometimes,Percentage,888933045772.csv
1023, - Most of the time,Percentage,888933045772.csv
1024, - Always,Percentage,888933045772.csv
1025,Dismissal or non-renewal of contract - Never,Percentage,888933045772.csv
1026, - Sometimes,Percentage,888933045772.csv
1027, - Most of the time,Percentage,888933045772.csv
1028, - Always,Percentage,888933045772.csv
1029,Have received feedback from2 - External individuals or bodies,Percentage,888933045791.csv
1030, - School principal,Percentage,888933045791.csv
1031, - Members of school management team,Percentage,888933045791.csv
1032, - Assigned mentors,Percentage,888933045791.csv
1033, - Other teachers,Percentage,888933045791.csv
1034,Have never received feedback in their current school3 - ,Percentage,888933045791.csv
1035,Feedback following classroom observation,Percentage,888933045848.csv
1036,Feedback from student surveys,Percentage,888933045848.csv
1037,Feedback following assessment of teachers' content knowledge,Percentage,888933045848.csv
1038,Feedback following analysis of student test scores,Percentage,888933045848.csv
1039,Feedback following self-assessment of teachers' work,Percentage,888933045848.csv
1040,Feedback from surveys or discussion with parents,Percentage,888933045848.csv
1041,Student performance,Percentage,888933046019.csv
1042,Knowledge and understanding of the subject field(s),Percentage,888933046019.csv
1043,Pedagogical competencies in teaching the subject field(s),Percentage,888933046019.csv
1044,Student assessment practices,Percentage,888933046019.csv
1045,Student behaviour and classroom management,Percentage,888933046019.csv
1046,Teaching of students with special learning needs,Percentage,888933046019.csv
1047,Teaching in a multicultural or multilingual setting,Percentage,888933046019.csv
1048,Feedback provided to other teachers to help their teaching,Percentage,888933046019.csv
1049,Feedback from parents or guardians,Percentage,888933046019.csv
1050,Student feedback,Percentage,888933046019.csv
1051,Collaboration or working with other teachers,Percentage,888933046019.csv
1052,Public recognition - No positive change,Percentage,888933046171.csv
1053, - A small change,Percentage,888933046171.csv
1054, - A moderate change,Percentage,888933046171.csv
1055, - A large change,Percentage,888933046171.csv
1056,Role in school development initiatives - No positive change,Percentage,888933046171.csv
1057, - A small change,Percentage,888933046171.csv
1058, - A moderate change,Percentage,888933046171.csv
1059, - A large change,Percentage,888933046171.csv
1060,Likelihood of career advancement - No positive change,Percentage,888933046171.csv
1061,Likelihood of career advancement - A small change,Percentage,888933046171.csv
1062,Likelihood of career advancement - A moderate change,Percentage,888933046171.csv
1063,Likelihood of career advancement - A large change,Percentage,888933046171.csv
1064,Amount of professional development - No positive change,Percentage,888933046171.csv
1065,Amount of professional development - A small change,Percentage,888933046171.csv
1066,Amount of professional development - A moderate change,Percentage,888933046171.csv
1067,Amount of professional development - A large change,Percentage,888933046171.csv
1068,Job responsibilities - No positive change,Percentage,888933046171.csv
1069,Job responsibilities - A small change,Percentage,888933046171.csv
1070,Job responsibilities - A moderate change,Percentage,888933046171.csv
1071,Job responsibilities - A large change,Percentage,888933046171.csv
1072,Confidence as a teacher - No positive change,Percentage,888933046171.csv
1073,Teachers' confidence - A small change,Percentage,888933046171.csv
1074,Teachers' confidence - A moderate change,Percentage,888933046171.csv
1075,Teachers' confidence - A large change,Percentage,888933046171.csv
1076,Salary and/or financial bonus - No positive change,Percentage,888933046171.csv
1077,Salary and/or financial bonus - A small change,Percentage,888933046171.csv
1078,Salary and/or financial bonus - A moderate change,Percentage,888933046171.csv
1079,Salary and/or financial bonus - A large change,Percentage,888933046171.csv
1080,Classroom management practices - No positive change,Percentage,888933046171.csv
1081,Classroom management practices - A small change,Percentage,888933046171.csv
1082,Classroom management practices - A moderate change,Percentage,888933046171.csv
1083,Classroom management practices - A large change,Percentage,888933046171.csv
1084,Knowledge and understanding of main subject field(s) - No positive change,Percentage,888933046171.csv
1085,Knowledge and understanding of main subject field(s) - A small change,Percentage,888933046171.csv
1086,Knowledge and understanding of main subject field(s) - A moderate change,Percentage,888933046171.csv
1087,Knowledge and understanding of main subject field(s) - A large change,Percentage,888933046171.csv
1088,Teaching practices - No positive change,Percentage,888933046171.csv
1089,Teaching practices - A small change,Percentage,888933046171.csv
1090,Teaching practices - A moderate change,Percentage,888933046171.csv
1091,Teaching practices - A large change,Percentage,888933046171.csv
1092,Methods for teaching students with special needs - No positive change,Percentage,888933046171.csv
1093,Methods for teaching students with special needs - A small change,Percentage,888933046171.csv
1094,Methods for teaching students with special needs - A moderate change,Percentage,888933046171.csv
1095,Methods for teaching students with special needs - A large change,Percentage,888933046171.csv
1096,Student assessments to improve student learning - No positive change,Percentage,888933046171.csv
1097,Student assessments to improve student learning - A small change,Percentage,888933046171.csv
1098,Student assessments to improve student learning - A moderate change,Percentage,888933046171.csv
1099,Student assessments to improve student learning - A large change,Percentage,888933046171.csv
1100,Job satisfaction - No positive change,Percentage,888933046171.csv
1101, - A small change,Percentage,888933046171.csv
1102, - A moderate change,Percentage,888933046171.csv
1103, - A large change,Percentage,888933046171.csv
1104,Motivation - No positive change,Percentage,888933046171.csv
1105, - A small change,Percentage,888933046171.csv
1106, - A moderate change,Percentage,888933046171.csv
1107, - A large change,Percentage,888933046171.csv
1108,The best performing teachers in this school receive the greatest recognition - Strongly disagree,Percentage,888933046228.csv
1109, - Disagree,Percentage,888933046228.csv
1110, - Agree,Percentage,888933046228.csv
1111, - Strongly agree,Percentage,888933046228.csv
1112,Teacher appraisal and feedback have little impact upon the way teachers teach in the classroom - Strongly disagree,Percentage,888933046228.csv
1113, - Disagree,Percentage,888933046228.csv
1114, - Agree,Percentage,888933046228.csv
1115, - Strongly agree,Percentage,888933046228.csv
1116,Teacher appraisal and feedback are largely done to fulfil administrative requirements - Strongly disagree,Percentage,888933046228.csv
1117, - Disagree,Percentage,888933046228.csv
1118, - Agree,Percentage,888933046228.csv
1119, - Strongly agree,Percentage,888933046228.csv
1120,A development or training plan is established to improve their work as a teacher - Strongly disagree,Percentage,888933046228.csv
1121, - Disagree,Percentage,888933046228.csv
1122, - Agree,Percentage,888933046228.csv
1123, - Strongly agree,Percentage,888933046228.csv
1124,Feedback is provided to teachers based on a thorough assessment of their teaching - Strongly disagree,Percentage,888933046228.csv
1125, - Disagree,Percentage,888933046228.csv
1126, - Agree,Percentage,888933046228.csv
1127, - Strongly agree,Percentage,888933046228.csv
1128,If a teacher is consistently underperforming he/she would be dismissed - Strongly disagree,Percentage,888933046228.csv
1129, - Disagree,Percentage,888933046228.csv
1130, - Agree,Percentage,888933046228.csv
1131, - Strongly agree,Percentage,888933046228.csv
1132,Measures to remedy any weaknesses in teaching are discussed with the teacher - Strongly disagree,Percentage,888933046228.csv
1133, - Disagree,Percentage,888933046228.csv
1134, - Agree,Percentage,888933046228.csv
1135, - Strongly agree,Percentage,888933046228.csv
1136,A mentor is appointed to help teachers improve his/her teaching - Strongly disagree,Percentage,888933046228.csv
1137, - Disagree,Percentage,888933046228.csv
1138, - Agree,Percentage,888933046228.csv
1139, - Strongly agree,Percentage,888933046228.csv
1140,Present a summary of recently learned content - Never or almost never,Percentage,888933046361.csv
1141, - Occasionally,Percentage,888933046361.csv
1142, - Frequently,Percentage,888933046361.csv
1143, - In all or nearly all lessons,Percentage,888933046361.csv
1144,Students work in small groups to come up with a joint solution to a problem or task - Never or almost never,Percentage,888933046361.csv
1145, - Occasionally,Percentage,888933046361.csv
1146, - Frequently,Percentage,888933046361.csv
1147, - In all or nearly all lessons,Percentage,888933046361.csv
1148,Give different work to the students who have difficulties learning and/or to those who can advance faster - Never or almost never,Percentage,888933046361.csv
1149, - Occasionally,Percentage,888933046361.csv
1150, - Frequently,Percentage,888933046361.csv
1151, - In all or nearly all lessons,Percentage,888933046361.csv
1152,Refer to a problem from everyday life or work to demonstrate why new knowledge is useful - Never or almost never,Percentage,888933046361.csv
1153, - Occasionally,Percentage,888933046361.csv
1154, - Frequently,Percentage,888933046361.csv
1155, - In all or nearly all lessons,Percentage,888933046361.csv
1156,Let students practice similar tasks until teacher knows that every student has understood the subject matter - Never or almost never,Percentage,888933046361.csv
1157, - Occasionally,Percentage,888933046361.csv
1158, - Frequently,Percentage,888933046361.csv
1159, - In all or nearly all lessons,Percentage,888933046361.csv
1160,Check students'  exercise books or homework - Never or almost never,Percentage,888933046361.csv
1161, - Occasionally,Percentage,888933046361.csv
1162, - Frequently,Percentage,888933046361.csv
1163, - In all or nearly all lessons,Percentage,888933046361.csv
1164,Students work on projects that require at least one week to complete - Never or almost never,Percentage,888933046361.csv
1165, - Occasionally,Percentage,888933046361.csv
1166, - Frequently,Percentage,888933046361.csv
1167, - In all or nearly all lessons,Percentage,888933046361.csv
1168,Students use ICT for projects or class work - Never or almost never,Percentage,888933046361.csv
1169, - Occasionally,Percentage,888933046361.csv
1170, - Frequently,Percentage,888933046361.csv
1171, - In all or nearly all lessons,Percentage,888933046361.csv
1172,Develop and administer own assessment - Never or almost never,Percentage,888933046779.csv
1173, - Occasionally,Percentage,888933046779.csv
1174, - Frequently,Percentage,888933046779.csv
1175, - In all or nearly all lessons,Percentage,888933046779.csv
1176,Administer a standardised test - Never or almost never,Percentage,888933046779.csv
1177, - Occasionally,Percentage,888933046779.csv
1178, - Frequently,Percentage,888933046779.csv
1179, - In all or nearly all lessons,Percentage,888933046779.csv
1180,Individual students answer questions in front of the class - Never or almost never,Percentage,888933046779.csv
1181, - Occasionally,Percentage,888933046779.csv
1182, - Frequently,Percentage,888933046779.csv
1183, - In all or nearly all lessons,Percentage,888933046779.csv
1184,Provide written feedback on student work in addition to a mark i.e. numeric score or letter grade - Never or almost never,Percentage,888933046779.csv
1185, - Occasionally,Percentage,888933046779.csv
1186, - Frequently,Percentage,888933046779.csv
1187, - In all or nearly all lessons,Percentage,888933046779.csv
1188,Let students evaluate their own progress - Never or almost never,Percentage,888933046779.csv
1189, - Occasionally,Percentage,888933046779.csv
1190, - Frequently,Percentage,888933046779.csv
1191, - In all or nearly all lessons,Percentage,888933046779.csv
1192,Observe students when working on particular tasks and provide immediate feedback - Never or almost never,Percentage,888933046779.csv
1193, - Occasionally,Percentage,888933046779.csv
1194, - Frequently,Percentage,888933046779.csv
1195, - In all or nearly all lessons,Percentage,888933046779.csv
1196,My role as a teacher is to facilitate students' own inquiry - Strongly disagree,Percentage,888933046912.csv
1197, - Disagree,Percentage,888933046912.csv
1198, - Agree,Percentage,888933046912.csv
1199, - Strongly agree,Percentage,888933046912.csv
1200,Students learn best by finding solutions to problems on their own - Strongly disagree,Percentage,888933046912.csv
1201, - Disagree,Percentage,888933046912.csv
1202, - Agree,Percentage,888933046912.csv
1203, - Strongly agree,Percentage,888933046912.csv
1204,Students should be allowed to think of solutions to practical problems themselves before the teacher shows them how they are solved - Strongly disagree,Percentage,888933046912.csv
1205, - Disagree,Percentage,888933046912.csv
1206, - Agree,Percentage,888933046912.csv
1207, - Strongly agree,Percentage,888933046912.csv
1208,Thinking and reasoning processes are more important than specific curriculum content - Strongly disagree,Percentage,888933046912.csv
1209, - Disagree,Percentage,888933046912.csv
1210, - Agree,Percentage,888933046912.csv
1211, - Strongly agree,Percentage,888933046912.csv
1212,Teach jointly as a team in the same class - Never,Percentage,888933047064.csv
1213, - Once a year or less,Percentage,888933047064.csv
1214, - 2-4 times a year,Percentage,888933047064.csv
1215, - 5-10 times a year,Percentage,888933047064.csv
1216, - 1-3 times a month,Percentage,888933047064.csv
1217, - Once a week or more,Percentage,888933047064.csv
1218,Observe other teachers' classes and provide feedback - Never,Percentage,888933047064.csv
1219, - Once a year or less,Percentage,888933047064.csv
1220, - 2-4 times a year,Percentage,888933047064.csv
1221, - 5-10 times a year,Percentage,888933047064.csv
1222, - 1-3 times a month,Percentage,888933047064.csv
1223, - Once a week or more,Percentage,888933047064.csv
1224,Engage in joint activities across different classes and age groups (e.g. projects) - Never,Percentage,888933047064.csv
1225, - Once a year or less,Percentage,888933047064.csv
1226, - 2-4 times a year,Percentage,888933047064.csv
1227, - 5-10 times a year,Percentage,888933047064.csv
1228, - 1-3 times a month,Percentage,888933047064.csv
1229, - Once a week or more,Percentage,888933047064.csv
1230,Exchange teaching materials with colleagues - Never,Percentage,888933047064.csv
1231, - Once a year or less,Percentage,888933047064.csv
1232, - 2-4 times a year,Percentage,888933047064.csv
1233, - 5-10 times a year,Percentage,888933047064.csv
1234, - 1-3 times a month,Percentage,888933047064.csv
1235, - Once a week or more,Percentage,888933047064.csv
1236,Engage in discussions about the learning development of specific students - Never,Percentage,888933047064.csv
1237, - Once a year or less,Percentage,888933047064.csv
1238, - 2-4 times a year,Percentage,888933047064.csv
1239, - 5-10 times a year,Percentage,888933047064.csv
1240, - 1-3 times a month,Percentage,888933047064.csv
1241, - Once a week or more,Percentage,888933047064.csv
1242,Work with other teachers in my school to ensure common standards in evaluations for assessing student progress - Never,Percentage,888933047064.csv
1243, - Once a year or less,Percentage,888933047064.csv
1244, - 2-4 times a year,Percentage,888933047064.csv
1245, - 5-10 times a year,Percentage,888933047064.csv
1246, - 1-3 times a month,Percentage,888933047064.csv
1247, - Once a week or more,Percentage,888933047064.csv
1248,Attend team conferences - Never,Percentage,888933047064.csv
1249, - Once a year or less,Percentage,888933047064.csv
1250, - 2-4 times a year,Percentage,888933047064.csv
1251, - 5-10 times a year,Percentage,888933047064.csv
1252, - 1-3 times a month,Percentage,888933047064.csv
1253, - Once a week or more,Percentage,888933047064.csv
1254,Take part in collaborative professional learning - Never,Percentage,888933047064.csv
1255, - Once a year or less,Percentage,888933047064.csv
1256, - 2-4 times a year,Percentage,888933047064.csv
1257, - 5-10 times a year,Percentage,888933047064.csv
1258, - 1-3 times a month,Percentage,888933047064.csv
1259, - Once a week or more,Percentage,888933047064.csv
1260,Administrative tasks,Percentage,888933047273.csv
1261,Keeping order in the classroom,Percentage,888933047273.csv
1262,Actual teaching and learning,Percentage,888933047273.csv
1263,When the lesson begins I have to wait quite a long time for students to quiet down - Strongly disagree,Percentage,888933047368.csv
1264, - Disagree,Percentage,888933047368.csv
1265, - Agree,Percentage,888933047368.csv
1266, - Strongly agree,Percentage,888933047368.csv
1267,Students in this class take care to create a pleasant atmosphere - Strongly disagree,Percentage,888933047368.csv
1268, - Disagree,Percentage,888933047368.csv
1269, - Agree,Percentage,888933047368.csv
1270, - Strongly agree,Percentage,888933047368.csv
1271,I lose quite a lot of time because of students interrupting the lesson - Strongly disagree,Percentage,888933047368.csv
1272, - Disagree,Percentage,888933047368.csv
1273, - Agree,Percentage,888933047368.csv
1274, - Strongly agree,Percentage,888933047368.csv
1275,There is much disruptive noise in this classroom - Strongly disagree,Percentage,888933047368.csv
1276, - Disagree,Percentage,888933047368.csv
1277, - Agree,Percentage,888933047368.csv
1278, - Strongly agree,Percentage,888933047368.csv
1279,The advantages of being a teacher clearly outweigh the disadvantages - Strongly disagree,Percentage,888933047520.csv
1280, - Disagree,Percentage,888933047520.csv
1281, - Agree,Percentage,888933047520.csv
1282, - Strongly agree,Percentage,888933047520.csv
1283,If I could decide again I would still choose to work as a teacher - Strongly disagree,Percentage,888933047520.csv
1284, - Disagree,Percentage,888933047520.csv
1285, - Agree,Percentage,888933047520.csv
1286, - Strongly agree,Percentage,888933047520.csv
1287,I would like to change to another school if that were possible - Strongly disagree,Percentage,888933047520.csv
1288, - Disagree,Percentage,888933047520.csv
1289, - Agree,Percentage,888933047520.csv
1290, - Strongly agree,Percentage,888933047520.csv
1291,I regret that I decided to become a teacher - Strongly disagree,Percentage,888933047520.csv
1292, - Disagree,Percentage,888933047520.csv
1293, - Agree,Percentage,888933047520.csv
1294, - Strongly agree,Percentage,888933047520.csv
1295,I enjoy working at this school - Strongly disagree,Percentage,888933047520.csv
1296, - Disagree,Percentage,888933047520.csv
1297, - Agree,Percentage,888933047520.csv
1298, - Strongly agree,Percentage,888933047520.csv
1299,I wonder whether it would have been better to choose another profession - Strongly disagree,Percentage,888933047520.csv
1300, - Disagree,Percentage,888933047520.csv
1301, - Agree,Percentage,888933047520.csv
1302, - Strongly agree,Percentage,888933047520.csv
1303,I would recommend my school as a good place to work - Strongly disagree,Percentage,888933047520.csv
1304, - Disagree,Percentage,888933047520.csv
1305, - Agree,Percentage,888933047520.csv
1306, - Strongly agree,Percentage,888933047520.csv
1307,I think that the teaching profession is valued in society - Strongly disagree,Percentage,888933047520.csv
1308, - Disagree,Percentage,888933047520.csv
1309, - Agree,Percentage,888933047520.csv
1310, - Strongly agree,Percentage,888933047520.csv
1311,I am satisfied with my performance in this school - Strongly disagree,Percentage,888933047520.csv
1312, - Disagree,Percentage,888933047520.csv
1313, - Agree,Percentage,888933047520.csv
1314, - Strongly agree,Percentage,888933047520.csv
1315,All in all I am satisfied with my job - Strongly disagree,Percentage,888933047520.csv
1316, - Disagree,Percentage,888933047520.csv
1317, - Agree,Percentage,888933047520.csv
1318, - Strongly agree,Percentage,888933047520.csv
